Job_Title,Company_Name,Pay_Scale,Location,Parent_Source,Job_Type,Company_Type,Apply_Now
['Vmware Administrator (3-6 Years) - Navi Mumbai'],Brennan IT,Best in industry,Navi Mumbai,https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,Products and services,https://cutshort.io/job/Vmware-Administrator-3-6-Years-Navi-Mumbai-Navi-Mumbai-Brennan-IT-YGH6yXu8
['Computer Vision Scientist - Machine Learning'],FarmGuide,Best in industry,NCR (Delhi | Gurgaon | Noida),https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,Products and services,https://cutshort.io/job/Computer-Vision-Scientist-Machine-Learning-NCR-Delhi-Gurgaon-Noida-FarmGuide-XaGyHMgO
['Business Analyst'],BrandzGarage,Best in industry,Pune,https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,Products and services,https://cutshort.io/job/Business-Analyst-Pune-BrandzGarage-P9N5ttO2
['DevOps Engineer - Windows Server Administration'],LeadSquared,Best in industry,Bengaluru (Bangalore),https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,Products and services,https://cutshort.io/job/DevOps-Engineer-Windows-Server-Administration-Bengaluru-Bangalore-LeadSquared-nAz81N8P
['Oracle Fusion Technical BI Consultant /  Executive Manager'],Techstar Software Development India Pvt Ltd.,Best in industry,"Remote, Hyderabad",https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,Products and services,https://cutshort.io/job/Oracle-Fusion-Technical-BI-Consultant-Executive-Manager-Hyderabad-Techstar-Software-Development-India-Pvt-Ltd--Qx6N6rc0
['Storage Architect'],Techstar Software Development India Pvt Ltd.,Best in industry,Bengaluru (Bangalore),https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,Products and services,https://cutshort.io/job/Storage-Architect-Bengaluru-Bangalore-Techstar-Software-Development-India-Pvt-Ltd--SE413YZl
['Front End - Developer'],Praxis Home Retail Limited,Best in industry,Mumbai,https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,Products and services,https://cutshort.io/job/Front-End-Developer-Mumbai-Praxis-Home-Retail-Limited-FdNkrH9c
[None],,,,https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,,
['Java Developer'],Altius Customer Services Pvt. Ltd,Best in industry,Nagpur,https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,Products and services,https://cutshort.io/job/Java-Developer-Nagpur-Altius-Customer-Services-Pvt-Ltd-W6F6oM6m
[None],,,,https://cutshort.io/jobs/growth-hacking-jobs-in-bangalore-bengaluru,Full time,,
